,BUSINESSNAME,ISSDTTM,EXPDTTM,LICCAT,LICCATDESC,CAPACITY,STNO,Address,Location,5,Final_Lat,Final_Long,geometry,neighborhood,ltype
262,VERVEINE CORP.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,40,253.0,  Shawmut AV,"(0.0, 0.0)","-71.0685,42.343372",42.343372,-71.0685,POINT (-71.0685 42.343372),South End,Malt Wine Liq.
263,"CORNER CAFE, INC..",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,32,87.0,  Prince ST,"(42.36561, -71.05597)","-71.05598,42.36553",42.36561,-71.05597,POINT (-71.05597 42.36561),North End,All Alc.
264,"CHIN FAMILY, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,54,162.0, Lincoln St,"(0.0, 0.0)","-71.05855,42.350845",42.350845,-71.05855,POINT (-71.05855 42.350845),Leather District,All Alc.
265,"BRAEMORE LOUNGE, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,170,652.0,  Beacon ST,"(0.0, 0.0)","-71.09552,42.34922",42.34922,-71.09552,POINT (-71.09551999999999 42.34922),Fenway,All Alc.
266,"CONEY ISLAND BAR, INC.",11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,180,396.0,  Market ST,"(42.3499, -71.15277)","-71.15297,42.350025",42.3499,-71.15277,POINT (-71.15277 42.3499),Brighton,All Alc.
267,"LAGRANGE LOUNGE AND RESTAURANT, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,250,2022.0,  Centre ST,"(42.280802, -71.157911)","-71.15812,42.281166",42.280802,-71.157911,POINT (-71.157911 42.280802),West Roxbury,All Alc.
268,"COSMOPOLITAN LOUNGE, INC.",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,94,276.0,  Bennington ST,"(0.0, 0.0)","-71.028824,42.378525",42.378525,-71.028824,POINT (-71.028824 42.378525),East Boston,All Alc.
269,"COSTELLO'S TAVERN, INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,150,717.0,  Centre ST,"(42.31124, -71.11473)","-71.11446,42.311382",42.31124,-71.11473,POINT (-71.11472999999999 42.31124),Jamaica Plain,All Alc.
270,JOHNNY BOY'S INC.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,48,1227.0, Hyde Park Av,"(42.257202, -71.124063)","-71.12388,42.256863",42.257202,-71.124063,POINT (-71.12406300000001 42.257202),Hyde Park,All Alc.
271,COURTYARD MANAGEMENT CORPORATION,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,275.0,  Tremont ST,"(42.350032, -71.065531)","-71.065254,42.3499",42.350032,-71.065531,POINT (-71.06553099999999 42.350032),Downtown,All Alc.
